combination	count
1A1B INV INV INV INV	66549508
1A1B 1A1B INV INV INV	28369546
2A1B INV INV INV INV	15100676
1A1B 1A1B 1A1B INV INV	11086415
2A2B INV INV INV INV	8385838
2A2B 2A2B 2A2B 2A2B 2A2B	4007881
2A2B 2A2B INV INV INV	3437962
1A1B 1A1B 1A1B 1A1B INV	3247060
2A2B 2A2B 2A2B 2A2B INV	3010299
2A1B 2A1B INV INV INV	2970162
2A2B 2A2B 2A2B INV INV	2694156
3A1B INV INV INV INV	2135268
1A1B 2A1B INV INV INV	2045008
2A1B 2A2B INV INV INV	2014654
2A1B 2A1B 2A2B INV INV	936064
2A1B 2A2B 2A2B INV INV	881164
2A1B 2A1B 2A1B INV INV	825096
2A1B 2A2B 2A2B 2A2B INV	628252
1A1B 1A1B 2A1B INV INV	613092
2A1B 2A2B 2A2B 2A2B 2A2B	525474
2A1B 2A1B 2A2B 2A2B INV	489164
1A1B 1A1B 1A1B 1A1B 1A1B	482274
1A1B 2A2B INV INV INV	428517
1A1B 2A1B 2A1B INV INV	421796
2A1B 3A1B INV INV INV	381118
2A1B 2A1B 2A1B 2A2B INV	375388
2A1B 2A1B 2A2B 2A2B 2A2B	275014
2A2B 3A1B INV INV INV	253530
1A1B 2A1B 2A2B INV INV	219612
2A1B 2A1B 2A1B 2A1B INV	219184
2A1B 2A1B 2A1B 2A2B 2A2B	173148
1A1B 3A1B INV INV INV	167658
1A1B 1A1B 1A1B 2A1B INV	141438
3A1B 3A1B INV INV INV	126846
1A1B 1A1B 2A2B INV INV	119415
2A1B 2A1B 2A1B 2A1B 2A2B	104568
2A2B 2A2B 3A1B INV INV	98338
2A1B 2A1B 3A1B INV INV	92666
1A1B 2A2B 2A2B INV INV	92393
1A1B 2A1B 2A1B 2A2B INV	91436
1A1B 1A1B 2A1B 2A1B INV	90892
1A1B 2A1B 2A1B 2A1B INV	86384
2A1B 2A2B 3A1B INV INV	85844
1A1B 2A1B 2A2B 2A2B INV	65396
